epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,139.909,4.3046,0.26712,0.5412,3.46125,0.00333076,0.00333076,0.00333076
2,275.992,3.69094,0.27582,0.55803,3.35986,0.00649765,0.00649765,0.00649765
3,396.56,3.62155,0.28472,0.54526,3.36509,0.00949805,0.00949805,0.00949805
4,521.218,3.57775,0.29903,0.57756,3.23254,0.00925075,0.00925075,0.00925075
5,647.561,3.47642,0.27466,0.58221,3.254,0.009001,0.009001,0.009001
6,772.757,3.4166,0.29691,0.58665,3.2052,0.00875125,0.00875125,0.00875125
7,898.476,3.3666,0.31064,0.59439,3.15531,0.0085015,0.0085015,0.0085015
8,1019.77,3.32753,0.31954,0.61122,3.10759,0.00825175,0.00825175,0.00825175
9,1141.6,3.29584,0.31586,0.60561,3.09221,0.008002,0.008002,0.008002
10,1264.11,3.26157,0.32495,0.60967,3.07157,0.00775225,0.00775225,0.00775225
11,1386.07,3.23233,0.3234,0.61663,3.03725,0.0075025,0.0075025,0.0075025
12,1512.57,3.20431,0.32302,0.61451,3.0352,0.00725275,0.00725275,0.00725275
13,1639.99,3.17998,0.33191,0.61973,3.01729,0.007003,0.007003,0.007003
14,1769.15,3.15641,0.32843,0.61335,3.02324,0.00675325,0.00675325,0.00675325
15,1895.09,3.12085,0.32495,0.61644,3.03205,0.0065035,0.0065035,0.0065035
16,2016.44,3.10632,0.33037,0.62031,3.0101,0.00625375,0.00625375,0.00625375
17,2142.64,3.07309,0.3294,0.61818,3.01644,0.006004,0.006004,0.006004
18,2336.88,3.05183,0.33075,0.61528,3.01493,0.00575425,0.00575425,0.00575425
